tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2002-499,Delray Beach,0,32,A,20020304,1,104053,1.0,,Andy Roddick,0,188.0,USA,19.5099247091,13.0,1913.0,103786,,,Nikolay Davydenko,R,178.0,RUS,20.7529089665,86.0,472.0,6-4 6-1,3,3,70.0,6.0,2.0,61.0,41.0,30.0,9.0,8.0,4.0,5.0,0.0,2.0,55.0,33.0,15.0,11.0,9.0,1.0,6.0
2002-499,Delray Beach,0,32,A,20020304,2,102703,,,Hyung Taik Lee,0,180.0,KOR,26.1656399726,93.0,435.0,103176,,,David Sanchez,R,183.0,ESP,23.871321013,66.0,576.0,6-2 6-3,3,3,61.0,4.0,1.0,50.0,34.0,23.0,12.0,8.0,2.0,3.0,1.0,0.0,58.0,36.0,19.0,9.0,9.0,5.0,10.0
2002-499,Delray Beach,0,32,A,20020304,3,103566,,,Michael Llodra,1,190.0,FRA,21.7932922656,113.0,350.0,102231,,,Alex Calatrava,R,190.0,ESP,28.720054757,101.0,400.0,5-0 RET,3,3,18.0,3.0,0.0,16.0,12.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0,7.0,3.0,2.0,3.0,1.0,3.0
2002-499,Delray Beach,0,32,A,20020304,4,103182,8.0,,Markus Hipfl,0,178.0,AUT,23.8548939083,74.0,535.0,102722,,,Attila Savolt,R,183.0,HUN,26.0752908966,85.0,473.0,7-5 7-5,3,3,105.0,2.0,1.0,83.0,54.0,40.0,13.0,12.0,9.0,11.0,7.0,3.0,68.0,35.0,28.0,11.0,12.0,3.0,7.0
2002-499,Delray Beach,0,32,A,20020304,5,103188,,,Michael Russell,0,173.0,USA,23.8412046543,92.0,445.0,102905,3.0,,Stefan Koubek,L,175.0,AUT,25.1663244353,50.0,778.0,3-6 6-3 6-2,3,3,126.0,2.0,0.0,100.0,81.0,52.0,6.0,13.0,10.0,14.0,3.0,0.0,97.0,53.0,28.0,22.0,13.0,8.0,14.0
2002-499,Delray Beach,0,32,A,20020304,6,103852,,Q,Feliciano Lopez,1,188.0,ESP,20.4517453799,144.0,275.0,102162,,Q,Chris Woodruff,R,188.0,USA,29.1663244353,156.0,248.0,6-7(4) 6-3 6-4,3,3,134.0,7.0,2.0,113.0,77.0,59.0,17.0,16.0,4.0,5.0,4.0,5.0,113.0,75.0,53.0,15.0,15.0,7.0,10.0
2002-499,Delray Beach,0,32,A,20020304,7,102179,,,Antony Dupuis,0,185.0,FRA,29.0212183436,82.0,481.0,102831,,,Jacobo Diaz,R,173.0,ESP,25.6454483231,81.0,482.0,6-4 6-1,3,3,57.0,9.0,0.0,47.0,29.0,23.0,13.0,9.0,0.0,0.0,3.0,1.0,48.0,35.0,17.0,9.0,8.0,1.0,4.0
2002-499,Delray Beach,0,32,A,20020304,8,103813,7.0,,Jarkko Nieminen,1,185.0,FIN,20.6132785763,68.0,567.0,102834,,WC,Paul Goldstein,R,178.0,USA,25.5797399042,174.0,218.0,6-1 6-2,3,3,66.0,2.0,0.0,47.0,36.0,25.0,5.0,7.0,4.0,5.0,1.0,2.0,58.0,34.0,18.0,7.0,8.0,6.0,12.0
2002-499,Delray Beach,0,32,A,20020304,9,102106,5.0,,Davide Sanguinetti,0,188.0,ITA,29.5222450376,60.0,614.0,103294,,,Christophe Rochus,R,170.0,BEL,23.2169746749,76.0,520.0,0-6 6-4 6-1,3,3,64.0,7.0,4.0,71.0,45.0,33.0,11.0,12.0,1.0,4.0,2.0,1.0,61.0,35.0,24.0,14.0,11.0,1.0,4.0
2002-499,Delray Beach,0,32,A,20020304,10,103709,,,Kristian Pless,0,188.0,DEN,21.0622861054,75.0,534.0,102887,,,Ramon Delgado,R,185.0,PAR,25.3004791239,80.0,490.0,6-4 6-3,3,3,58.0,4.0,0.0,50.0,36.0,28.0,8.0,9.0,2.0,3.0,2.0,2.0,58.0,33.0,22.0,10.0,10.0,1.0,5.0
