tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2
2003-481,Copenhagen,Hard,32,A,20030224,1,103694,,,Olivier Rochus,R,168.0,BEL,22.0999315537,84.0,500.0,103813,1.0,,Jarkko Nieminen,L,185.0,FIN,21.5906913073,35.0,1005.0,6-3 6-2,3,R32,63.0,1.0,0.0,47.0,35.0,24.0,6.0,9.0,0.0,2.0,5.0,0.0,46.0,23.0,11.0,11.0,8.0,5.0,10.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,103694,103813
2003-481,Copenhagen,Hard,32,A,20030224,2,102694,,,Lars Burgsmuller,R,183.0,GER,27.2197125257,106.0,370.0,103781,,,Jurgen Melzer,L,183.0,AUT,21.7604380561,93.0,427.0,6-4 6-4,3,R32,92.0,4.0,2.0,60.0,29.0,23.0,19.0,10.0,1.0,2.0,4.0,1.0,88.0,45.0,31.0,19.0,10.0,10.0,13.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,103781,102694
2003-481,Copenhagen,Hard,32,A,20030224,3,103181,,,Jiri Vanek,R,185.0,CZE,24.8377823409,186.0,192.0,104059,,WC,Rasmus Norby,R,183.0,DEN,20.4572210815,1129.0,3.0,6-4 2-6 6-3,3,R32,128.0,4.0,3.0,69.0,39.0,31.0,15.0,13.0,3.0,6.0,4.0,7.0,108.0,57.0,39.0,22.0,14.0,6.0,10.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104059,103181
2003-481,Copenhagen,Hard,32,A,20030224,4,102494,,Q,Tomas Behrend,R,193.0,GER,28.2026009582,144.0,259.0,104339,7.0,,Mario Ancic,R,196.0,CRO,18.9048596851,65.0,610.0,6-4 6-7(7) 7-6(2),3,R32,145.0,9.0,7.0,111.0,67.0,54.0,28.0,17.0,2.0,3.0,18.0,2.0,118.0,70.0,52.0,27.0,17.0,4.0,6.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104339,102494
2003-481,Copenhagen,Hard,32,A,20030224,5,103285,4.0,,Radek Stepanek,R,185.0,CZE,24.2436687201,56.0,667.0,103324,,,Arnaud Di Pasquale,R,185.0,FRA,24.0355920602,97.0,414.0,7-6(3) 3-6 6-3,3,R32,110.0,11.0,2.0,94.0,61.0,44.0,14.0,15.0,6.0,10.0,8.0,9.0,90.0,57.0,42.0,10.0,15.0,3.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103285,103324
2003-481,Copenhagen,Hard,32,A,20030224,6,101723,,Q,Magnus Larsson,R,193.0,SWE,32.9199178645,184.0,194.0,104233,,WC,Frederik Nielsen,R,190.0,DEN,19.4962354552,1020.0,5.0,6-1 6-1,3,R32,40.0,4.0,1.0,40.0,32.0,25.0,3.0,7.0,2.0,3.0,2.0,0.0,41.0,22.0,8.0,6.0,7.0,5.0,11.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,101723,104233
2003-481,Copenhagen,Hard,32,A,20030224,7,103971,,,Karol Beck,R,180.0,SVK,20.8952772074,83.0,510.0,102925,,,Justin Gimelstob,R,196.0,USA,26.0780287474,90.0,450.0,6-4 6-3,3,R32,71.0,9.0,2.0,57.0,32.0,25.0,12.0,10.0,1.0,3.0,5.0,2.0,55.0,23.0,17.0,11.0,9.0,0.0,4.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103971,102925
2003-481,Copenhagen,Hard,32,A,20030224,8,102179,,,Antony Dupuis,R,185.0,FRA,29.9986310746,75.0,555.0,103280,6.0,,Martin Verkerk,R,196.0,NED,24.3175906913,68.0,604.0,6-4 6-4,3,R32,62.0,10.0,2.0,48.0,29.0,27.0,14.0,10.0,0.0,0.0,9.0,1.0,56.0,37.0,28.0,9.0,10.0,2.0,4.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103280,102179
2003-481,Copenhagen,Hard,32,A,20030224,9,103356,,,Michel Kratochvil,R,185.0,SUI,23.8850102669,81.0,520.0,102202,5.0,,Kenneth Carlsen,L,190.0,DEN,29.8562628337,59.0,646.0,6-7(3) 6-3 6-4,3,R32,134.0,5.0,2.0,103.0,61.0,45.0,26.0,16.0,11.0,12.0,10.0,4.0,93.0,60.0,48.0,12.0,15.0,2.0,5.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,102202,103356
2003-481,Copenhagen,Hard,32,A,20030224,10,103444,,,Jean Rene Lisnard,R,173.0,MON,23.4168377823,88.0,478.0,104180,,Q,Gilles Muller,L,193.0,LUX,19.7973990418,290.0,101.0,7-5 6-4,3,R32,192.0,2.0,7.0,77.0,38.0,27.0,19.0,11.0,6.0,8.0,3.0,3.0,61.0,30.0,17.0,21.0,11.0,2.0,6.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,103444,104180
