tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2,player_1_win,player_2_win
2012-418,Washington,Hard,32,A,20120730,1,103888,1.0,,Mardy Fish,R,188.0,USA,30.6392881588,15.0,1955.0,103451,,,Bjorn Phau,R,175.0,GER,32.8213552361,77.0,627.0,4-6 6-1 6-2,3,R32,113.0,15.0,3.0,82.0,49.0,34.0,22.0,13.0,6.0,7.0,5.0,5.0,81.0,47.0,31.0,15.0,12.0,5.0,9.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103451,103888,False,True
2012-418,Washington,Hard,32,A,20120730,2,105575,,WC,Ricardas Berankis,R,175.0,LTU,22.1081451061,103.0,549.0,103917,,,Nicolas Mahut,R,190.0,FRA,30.5215605749,62.0,744.0,6-4 7-5,3,R32,102.0,10.0,5.0,68.0,33.0,28.0,20.0,11.0,0.0,0.0,10.0,1.0,90.0,55.0,39.0,15.0,11.0,11.0,13.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105575,103917,True,False
2012-418,Washington,Hard,32,A,20120730,3,103598,,,Xavier Malisse,R,185.0,BEL,32.0301163587,67.0,686.0,103908,,,Paul Henri Mathieu,R,185.0,FRA,30.546201232,142.0,387.0,4-6 6-2 6-1,3,R32,105.0,12.0,3.0,70.0,35.0,30.0,16.0,12.0,1.0,4.0,4.0,5.0,87.0,43.0,26.0,17.0,13.0,12.0,19.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103598,103908,True,False
2012-418,Washington,Hard,32,A,20120730,4,104871,6.0,,Jeremy Chardy,R,188.0,FRA,25.4620123203,47.0,899.0,104273,,,Edouard Roger Vasselin,R,188.0,FRA,28.6707734428,100.0,555.0,3-6 7-6(3) 6-4,3,R32,131.0,19.0,5.0,102.0,64.0,50.0,19.0,15.0,5.0,6.0,9.0,7.0,103.0,68.0,57.0,14.0,16.0,3.0,4.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104273,104871,False,True
2012-418,Washington,Hard,32,A,20120730,5,103163,4.0,,Tommy Haas,R,188.0,GER,34.3244353183,36.0,1138.0,103188,,Q,Michael Russell,R,173.0,USA,34.2477754962,81.0,615.0,6-4 6-2,3,R32,75.0,5.0,3.0,45.0,27.0,23.0,13.0,9.0,0.0,0.0,5.0,3.0,61.0,41.0,28.0,8.0,9.0,4.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103188,103163,False,True
2012-418,Washington,Hard,32,A,20120730,6,104919,,,Leonardo Mayer,R,188.0,ARG,25.2101300479,63.0,707.0,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,29.1553730322,71.0,651.0,7-6(5) 7-6(8),3,R32,119.0,6.0,4.0,77.0,48.0,39.0,18.0,12.0,0.0,0.0,8.0,5.0,78.0,40.0,30.0,25.0,12.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104919,104198,True,False
2012-418,Washington,Hard,32,A,20120730,7,104594,,,Marinko Matosevic,R,194.0,AUS,26.9760438056,64.0,706.0,105028,,Q,Jesse Levine,L,175.0,CAN,24.7912388775,89.0,585.0,3-6 7-6(5) 6-3,3,R32,134.0,5.0,1.0,95.0,62.0,43.0,20.0,16.0,3.0,6.0,5.0,3.0,87.0,60.0,42.0,15.0,14.0,3.0,5.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,105028,104594,False,True
2012-418,Washington,Hard,32,A,20120730,8,104735,,,Tobias Kamke,R,180.0,GER,26.1930184805,107.0,538.0,105332,7.0,,Benoit Paire,R,196.0,FRA,23.227926078,50.0,880.0,6-3 7-5,3,R32,71.0,0.0,4.0,60.0,33.0,22.0,8.0,10.0,2.0,7.0,5.0,3.0,65.0,35.0,20.0,5.0,11.0,1.0,9.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104735,105332,True,False
2012-418,Washington,Hard,32,A,20120730,9,105023,8.0,,Sam Querrey,R,198.0,USA,24.8131416838,38.0,1029.0,104214,,,Igor Andreev,R,185.0,RUS,29.0458590007,92.0,579.0,7-6(2) 6-7(2) 7-6(3),3,R32,133.0,18.0,10.0,113.0,61.0,51.0,29.0,18.0,4.0,6.0,8.0,1.0,112.0,70.0,56.0,23.0,18.0,1.0,3.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105023,104214,True,False
2012-418,Washington,Hard,32,A,20120730,10,103794,,,Benjamin Becker,R,178.0,GER,31.1211498973,105.0,543.0,105449,,WC,Steve Johnson,R,188.0,USA,22.598220397,360.0,115.0,6-4 6-3,3,R32,73.0,7.0,2.0,59.0,28.0,20.0,18.0,9.0,3.0,4.0,7.0,3.0,57.0,30.0,21.0,11.0,10.0,5.0,9.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103794,105449,True,False
