tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,hand_r,hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F
2013-319,Kitzbuhel,Clay,28,A,20130728,1,104919,,,Leonardo Mayer,R,188.0,ARG,26.2067077344,78.0,641.0,104932,,,Kenny De Schepper,L,203.0,FRA,26.1683778234,69.0,716.0,6-4 6-4,3,R32,84.0,4.0,1.0,54.0,33.0,27.0,14.0,10.0,0.0,0.0,3.0,4.0,78.0,45.0,30.0,16.0,10.0,10.0,12.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-319,Kitzbuhel,Clay,28,A,20130728,2,104547,,,Horacio Zeballos,L,188.0,ARG,28.2546201232,54.0,862.0,104770,,Q,Martin Fischer,R,,AUT,27.022587269,233.0,201.0,7-5 1-6 6-3,3,R32,125.0,1.0,1.0,98.0,71.0,45.0,14.0,14.0,12.0,16.0,4.0,2.0,81.0,44.0,30.0,21.0,14.0,5.0,9.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2013-319,Kitzbuhel,Clay,28,A,20130728,3,104719,8.0,,Marcel Granollers,R,190.0,ESP,27.2963723477,53.0,870.0,106207,,WC,Mate Pavic,L,,CRO,20.0684462697,360.0,107.0,7-6(2) 6-2,3,R32,115.0,6.0,3.0,83.0,49.0,34.0,22.0,10.0,6.0,6.0,2.0,3.0,73.0,39.0,26.0,19.0,10.0,6.0,8.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-319,Kitzbuhel,Clay,28,A,20130728,4,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,30.1519507187,72.0,686.0,105064,,,Thomaz Bellucci,L,188.0,BRA,25.5797399042,115.0,495.0,6-7(1) 6-3 7-6(4),3,R32,171.0,3.0,12.0,132.0,65.0,45.0,30.0,17.0,10.0,15.0,9.0,3.0,116.0,62.0,38.0,27.0,16.0,6.0,12.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-319,Kitzbuhel,Clay,28,A,20130728,5,104898,,,Robin Haase,R,190.0,NED,26.3134839151,68.0,717.0,105558,,,Guillaume Rufin,R,188.0,FRA,23.1759069131,96.0,567.0,6-4 7-6(4),3,R32,110.0,10.0,0.0,81.0,51.0,38.0,11.0,11.0,3.0,6.0,2.0,7.0,88.0,48.0,32.0,15.0,11.0,7.0,11.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-319,Kitzbuhel,Clay,28,A,20130728,6,104978,,,Daniel Brands,R,196.0,GER,26.0342231348,52.0,873.0,104122,5.0,,Carlos Berlocq,R,183.0,ARG,30.4832306639,43.0,920.0,7-6(4) 2-6 6-2,3,R32,117.0,3.0,2.0,84.0,43.0,33.0,23.0,14.0,0.0,2.0,2.0,1.0,82.0,62.0,47.0,11.0,14.0,4.0,6.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-319,Kitzbuhel,Clay,28,A,20130728,7,103656,7.0,,Albert Montanes,R,175.0,ESP,32.6707734428,45.0,910.0,104494,,,Adrian Ungur,R,178.0,ROU,28.5065023956,92.0,587.0,6-4 6-2,3,R32,71.0,8.0,1.0,52.0,37.0,29.0,10.0,9.0,2.0,2.0,1.0,3.0,59.0,35.0,23.0,11.0,9.0,3.0,6.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-319,Kitzbuhel,Clay,28,A,20130728,8,103812,,,Victor Hanescu,R,198.0,ROU,32.0219028063,46.0,909.0,105379,,,Aljaz Bedene,R,181.0,SLO,24.0301163587,106.0,531.0,6-2 6-1,3,R32,60.0,3.0,0.0,41.0,34.0,29.0,3.0,8.0,0.0,0.0,2.0,2.0,43.0,18.0,12.0,8.0,7.0,4.0,8.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-319,Kitzbuhel,Clay,28,A,20130728,9,106233,,WC,Dominic Thiem,R,,AUT,19.9014373717,268.0,167.0,105723,,,Andrey Kuznetsov,R,185.0,RUS,22.431211499,82.0,625.0,6-2 7-5,3,R32,79.0,4.0,4.0,69.0,36.0,29.0,16.0,10.0,1.0,2.0,2.0,3.0,56.0,31.0,21.0,12.0,10.0,4.0,8.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-319,Kitzbuhel,Clay,28,A,20130728,10,104225,,Q,Jan Hajek,R,180.0,CZE,29.9767282683,135.0,430.0,105060,,LL,Aldin Setkic,R,193.0,BIH,25.6043805613,223.0,210.0,6-2 6-1,3,R32,50.0,5.0,1.0,41.0,26.0,21.0,9.0,7.0,4.0,4.0,3.0,4.0,47.0,28.0,16.0,5.0,8.0,0.0,5.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
